suite,scenario,metric,n,mean,median,q1,q3,iqr,ci95_low,ci95_high,baseline_n,mann_whitney_u,p_value,cliffs_delta,effect_size
rest,admin_get_attendees|a3_rr12_wr8_rc3_wc2,error_rate,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
rest,admin_get_attendees|a3_rr12_wr8_rc3_wc2,latency_p50_ms,1,5633.049812,5633.049812,5633.049812,5633.049812,0.0,5633.049812,5633.049812,,,,,
rest,admin_get_attendees|a3_rr12_wr8_rc3_wc2,latency_p95_ms,1,5644.0321625,5644.0321625,5644.0321625,5644.0321625,0.0,5644.0321625,5644.0321625,,,,,
rest,admin_get_attendees|a3_rr12_wr8_rc3_wc2,latency_p99_ms,1,5645.2110325,5645.2110325,5645.2110325,5645.2110325,0.0,5645.2110325,5645.2110325,,,,,
rest,admin_get_attendees|a3_rr12_wr8_rc3_wc2,rps,1,0.5327281620256489,0.5327281620256489,0.5327281620256489,0.5327281620256489,0.0,0.5327281620256489,0.5327281620256489,,,,,
rest,admin_get_chat_history|a3_rr12_wr8_rc3_wc2,error_rate,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
rest,admin_get_chat_history|a3_rr12_wr8_rc3_wc2,latency_p50_ms,1,0.5867705000000001,0.5867705000000001,0.5867705000000001,0.5867705000000001,0.0,0.5867705000000001,0.5867705000000001,,,,,
rest,admin_get_chat_history|a3_rr12_wr8_rc3_wc2,latency_p95_ms,1,2.1822727,2.1822727,2.1822727,2.1822727,0.0,2.1822727,2.1822727,,,,,
rest,admin_get_chat_history|a3_rr12_wr8_rc3_wc2,latency_p99_ms,1,2.19508814,2.19508814,2.19508814,2.19508814,0.0,2.19508814,2.19508814,,,,,
rest,admin_get_chat_history|a3_rr12_wr8_rc3_wc2,rps,1,3084.1391717801266,3084.1391717801266,3084.1391717801266,3084.1391717801266,0.0,3084.1391717801266,3084.1391717801266,,,,,
rest,attendee_post_help|a3_rr12_wr8_rc3_wc2,error_rate,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
rest,attendee_post_help|a3_rr12_wr8_rc3_wc2,latency_p50_ms,1,1.3990835,1.3990835,1.3990835,1.3990835,0.0,1.3990835,1.3990835,,,,,
rest,attendee_post_help|a3_rr12_wr8_rc3_wc2,latency_p95_ms,1,9.584114349999995,9.584114349999995,9.584114349999995,9.584114349999995,0.0,9.584114349999995,9.584114349999995,,,,,
rest,attendee_post_help|a3_rr12_wr8_rc3_wc2,latency_p99_ms,1,12.324322869999998,12.324322869999998,12.324322869999998,12.324322869999998,0.0,12.324322869999998,12.324322869999998,,,,,
rest,attendee_post_help|a3_rr12_wr8_rc3_wc2,rps,1,614.891897776989,614.891897776989,614.891897776989,614.891897776989,0.0,614.891897776989,614.891897776989,,,,,
rest,attendee_post_submission_link|a3_rr12_wr8_rc3_wc2,error_rate,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
rest,attendee_post_submission_link|a3_rr12_wr8_rc3_wc2,latency_p50_ms,1,1.4455415,1.4455415,1.4455415,1.4455415,0.0,1.4455415,1.4455415,,,,,
rest,attendee_post_submission_link|a3_rr12_wr8_rc3_wc2,latency_p95_ms,1,9.280605699999997,9.280605699999997,9.280605699999997,9.280605699999997,0.0,9.280605699999997,9.280605699999997,,,,,
rest,attendee_post_submission_link|a3_rr12_wr8_rc3_wc2,latency_p99_ms,1,11.065453939999998,11.065453939999998,11.065453939999998,11.065453939999998,0.0,11.065453939999998,11.065453939999998,,,,,
rest,attendee_post_submission_link|a3_rr12_wr8_rc3_wc2,rps,1,506.09019450880754,506.09019450880754,506.09019450880754,506.09019450880754,0.0,506.09019450880754,506.09019450880754,,,,,
stability,soak,cycle_p95_ms,1,47981.729292005184,47981.729292005184,47981.729292005184,47981.729292005184,0.0,47981.729292005184,47981.729292005184,,,,,
stability,soak,cycle_p99_ms,1,47981.729292005184,47981.729292005184,47981.729292005184,47981.729292005184,0.0,47981.729292005184,47981.729292005184,,,,,
stability,soak,cycle_success_rate,1,1.0,1.0,1.0,1.0,0.0,1.0,1.0,,,,,
ws,users_5,e2e_p50_ms,1,9.577895999999999,9.577895999999999,9.577895999999999,9.577895999999999,0.0,9.577895999999999,9.577895999999999,,,,,
ws,users_5,e2e_p95_ms,1,40.52873365000001,40.52873365000001,40.52873365000001,40.52873365000001,0.0,40.52873365000001,40.52873365000001,,,,,
ws,users_5,e2e_p99_ms,1,41.029446730000004,41.029446730000004,41.029446730000004,41.029446730000004,0.0,41.029446730000004,41.029446730000004,,,,,
ws,users_5,recv_chat_per_sec,1,12.5,12.5,12.5,12.5,0.0,12.5,12.5,,,,,
ws,users_5,sent_chat_per_sec,1,2.5,2.5,2.5,2.5,0.0,2.5,2.5,,,,,
ws,users_5,ws_disconnects,1,5.0,5.0,5.0,5.0,0.0,5.0,5.0,,,,,
ws,users_5,ws_errors,1,5.0,5.0,5.0,5.0,0.0,5.0,5.0,,,,,
